account_id,match_id,start_time,winorloss,mmrModifier 
423076846,7510811448,1703807499,0,21.710526315789473
67762413,7510790368,1703805578,1,22.517647058823528
125251142,7510811448,1703807499,0,23.377192982456137
68024789,7510811448,1703807499,0,25.043859649122805
113003047,7510222682,1703777238,1,24.210526315789473
80636612,7510811448,1703807499,0,24.210526315789473
65110965,7510811448,1703807499,0,24.166666666666664
423076846,7510790368,1703805578,1,23.11764705882353
67762413,7510770490,1703803908,0,26.74005550416281
68024789,7510790368,1703805578,1,23.517647058823528
125251142,7510790368,1703805578,1,23.4
113003047,7510160665,1703775069,1,22.326839826839826
80636612,7510790368,1703805578,1,22.517647058823528
65110965,7510292971,1703779879,0,24.555555555555557
423076846,7510770490,1703803908,0,25.74005550416281
67762413,7510742088,1703801773,1,23.57142857142857
68024789,7510770490,1703803908,0,25.782608695652172
125251142,7510770490,1703803908,0,26.95744680851064
113003047,7510110468,1703773368,1,26.666666666666668
80636612,7510770490,1703803908,0,26.74005550416281
65110965,7510222682,1703777238,1,25.443037974683545
423076846,7510742088,1703801773,1,21.512605042016805
67762413,7510292971,1703779879,0,23.285714285714285
68024789,7507939999,1703650641,0,25
125251142,7510742088,1703801773,1,22.941176470588236
113003047,7508634878,1703688487,1,20.166666666666668
80636612,7510110468,1703773368,1,24.375
65110965,7510160665,1703775069,1,22.803030303030305
423076846,7510292971,1703779879,0,24.841269841269842
67762413,7510160665,1703775069,1,23.69047619047619
68024789,7507768146,1703634336,1,25
125251142,7476128785,1701917864,0,23.955882352941178
113003047,7508517861,1703684488,1,30.857142857142858
80636612,7482782346,1702262857,1,23.79914004914005
65110965,7507181090,1703604147,1,24.285714285714285
423076846,7510222682,1703777238,1,24.653564290473017
67762413,7510110468,1703773368,1,26.041666666666668
68024789,7507606023,1703622557,0,25
125251142,7476104786,1701915569,0,25.940789473684212
113003047,7507181090,1703604147,1,23.4
80636612,7482765125,1702261217,1,24.75
65110965,7507126305,1703602231,1,24.555555555555557
423076846,7510160665,1703775069,1,22.326839826839826
67762413,7509068929,1703706636,1,25.454545454545453
68024789,7506260871,1703549851,1,25
125251142,7476079520,1701912969,0,25.17857142857143
113003047,7507126305,1703602231,1,23.458781362007166
80636612,7482743480,1702259078,1,27.20646361311323
65110965,7501442380,1703302246,0,24.464285714285715
68024789,7504902835,1703478911,1,25
423076846,7510110468,1703773368,1,26.041666666666668
113003047,7501442380,1703302246,0,23.035714285714285
67762413,7509035332,1703704992,0,25
80636612,7482718925,1702256497,1,25.454545454545453
65110965,7501421076,1703300536,0,21.96969696969697
68024789,7504500303,1703445988,0,25
423076846,7509068929,1703706636,1,23.57142857142857
67762413,7508634878,1703688487,1,23.863636363636363
113003047,7501421076,1703300536,0,22.575757575757574
80636612,7476128785,1701917864,0,22.64009287925697
65110965,7501400236,1703298792,1,22.733333333333334
68024789,7504258848,1703435708,1,25
423076846,7509035332,1703704992,0,26.666666666666664
67762413,7508517861,1703684488,1,25.584415584415584
113003047,7501400236,1703298792,1,23.724324324324325
80636612,7476104786,1701915569,0,24.440789473684212
65110965,7500784891,1703262741,0,25.789473684210527
68024789,7503231170,1703392302,0,25
423076846,7508634878,1703688487,1,24.03030303030303
67762413,7507768146,1703634336,1,25
113003047,7501384680,1703297412,0,25
80636612,7476079520,1701912969,0,26.228571428571428
65110965,7500711955,1703260177,1,24.04255319148936
68024789,7500784891,1703262741,0,25.13290802764487
65110965,7500664399,1703258561,0,27.21728307254623
423076846,7508517861,1703684488,1,25.727272727272727
67762413,7507606023,1703622557,0,25
113003047,7501324426,1703291883,0,25
80636612,7471675669,1701653728,1,22.651098901098905
68024789,7500711955,1703260177,1,24.166666666666664
65110965,7500622006,1703257171,0,22.77777777777778
423076846,7507181090,1703604147,1,22.685714285714287
67762413,7476128785,1701917864,0,22.934210526315788
113003047,7500784891,1703262741,0,23.88888888888889
80636612,7471661767,1701652303,0,29.223509223509225
68024789,7500664399,1703258561,0,28.735923423423422
65110965,7499917091,1703219081,0,26.05263157894737
423076846,7507126305,1703602231,1,21.903225806451612
67762413,7476104786,1701915569,0,24.625
113003047,7500711955,1703260177,1,23.209219858156025
80636612,7471640798,1701650043,0,23.42857142857143
68024789,7500622006,1703257171,0,23.253968253968253
65110965,7498435036,1703131106,0,23.104575163398692
423076846,7500784891,1703262741,0,24.22381711855396
67762413,7476079520,1701912969,0,23.55
113003047,7500664399,1703258561,0,26.189692982456137
80636612,7471624546,1701648298,1,22.669472751439965
68024789,7499917091,1703219081,0,25.497076023391813
65110965,7498407181,1703128466,1,23.583333333333336
423076846,7500711955,1703260177,1,23.209219858156025
67762413,7471675669,1701653728,1,23.090659340659343
113003047,7500622006,1703257171,0,24.92063492063492
80636612,7471335916,1701629479,0,24.210526315789473
68024789,7499121933,1703169826,0,25.333333333333336
65110965,7498387060,1703126531,0,25
423076846,7500664399,1703258561,0,27.946449739212895
67762413,7471661767,1701652303,0,29.223509223509225
113003047,7500198283,1703240257,0,25
80636612,7471290325,1701627529,0,24.210526315789473
68024789,7498435036,1703131106,0,25.346638655462186
65110965,7498367672,1703124546,1,23.75
423076846,7500622006,1703257171,0,23.253968253968253
67762413,7471640798,1701650043,0,24.92857142857143
113003047,7500174233,1703238736,1,25
80636612,7471022813,1701617623,0,24.80952380952381
68024789,7498407181,1703128466,1,26.36111111111111
65110965,7496964617,1703044496,1,23.39622641509434
423076846,7499171650,1703171606,1,25.434782608695652
67762413,7471624546,1701648298,1,20.396745478712692
113003047,7500082680,1703232506,0,25
80636612,7470959605,1701615609,1,23.29175329175329
68024789,7498387060,1703126531,0,25.405405405405403
65110965,7493930174,1702873099,0,25
423076846,7499121933,1703169826,0,22.666666666666668
113003047,7500059560,1703230846,0,25
80636612,7470880959,1701613258,1,23.5
68024789,7498369087,1703124686,0,25
65110965,7493907383,1702871079,1,23.39622641509434
423076846,7499072849,1703168167,0,25.689655172413794
113003047,7499171650,1703171606,1,24.666666666666668
68024789,7496964617,1703044496,1,24.50733752620545
65110965,7493884457,1702868970,0,25
423076846,7496784453,1703026279,1,25
113003047,7499121933,1703169826,0,24.333333333333332
68024789,7496784453,1703026279,1,21.11111111111111
65110965,7493857416,1702866484,1,26.666666666666668
423076846,7495984745,1702991114,0,25
113003047,7499072849,1703168167,0,25
68024789,7490156375,1702697059,1,24.375
65110965,7493117602,1702826244,1,24.048400328137816
423076846,7494480444,1702905409,0,25.714285714285715
113003047,7495984745,1702991114,0,25
68024789,7490130520,1702695396,0,27.381756756756758
65110965,7493051750,1702824293,1,21.944444444444446
423076846,7494426673,1702903589,1,21.53846153846154
113003047,7494480444,1702905409,0,25
68024789,7490108913,1702693796,0,22.784525416104362
65110965,7491327303,1702744276,1,23.92857142857143
423076846,7494374513,1702901670,0,24.615384615384617
113003047,7494426673,1702903589,1,25
68024789,7490018907,1702685916,0,25.263157894736842
65110965,7491222464,1702741061,1,26.666666666666668
423076846,7491396772,1702746536,0,26.666666666666664
113003047,7494374513,1702901670,0,25
68024789,7482782346,1702262857,1,23.344594594594597
65110965,7490156375,1702697059,1,25.041666666666668
423076846,7491327303,1702744276,1,24.55357142857143
113003047,7493117602,1702826244,1,22.31779504254532
68024789,7482765125,1702261217,1,22.083333333333336
65110965,7490130520,1702695396,0,28.006756756756758
423076846,7491222464,1702741061,1,25.87719298245614
113003047,7493051750,1702824293,1,22.54385964912281
68024789,7482743480,1702259078,1,25.300305255341968
65110965,7490108913,1702693796,0,22.707602339181285
423076846,7476128785,1701917864,0,22.64009287925697
113003047,7492996679,1702822637,0,25
68024789,7482718925,1702256497,1,25
