account_id,lastUpdated,newestMatch,oldestMatch
34940151,2023-12-21 15:14:14.448,2023-12-21 03:58:26,2023-12-21 02:09:06
80636612,2023-12-21 15:14:16.778,2023-12-11 02:47:37,2023-12-11 01:01:37
67762413,2023-12-21 15:14:21.498,2023-12-07 02:57:44,2023-12-07 01:36:09
113003047,2023-12-21 15:34:46.928,2023-12-21 14:43:46,2023-12-21 14:16:07
423076846,2023-12-21 15:35:02.916,2023-12-21 14:43:46,2023-12-21 14:16:07
68024789,2023-12-21 15:56:56.535,2023-12-21 14:43:46,2023-12-21 02:11:26
65110965,2023-12-21 17:26:12.952,2023-12-21 03:58:26,2023-12-21 02:09:06
123794823,2023-12-21 17:26:12.952,,
105114682,2023-12-21 17:26:12.952,,
