id,lastUpdated,type,active,createdDate,endDate,endGold,endXp,gold,questSlot,randomID,status,turbotownID,win,xp
55,2024-01-20 16:35:50.563,random,false,2024-01-20 16:35:50.561,2024-01-21 03:38:25.219,0,50,100,1,460,completed,2,false,100
6,2024-01-19 10:35:22.984,random,false,2024-01-19 10:35:22.983,2024-01-21 04:07:21.006,100,150,100,3,411,completed,2,true,100
56,2024-01-20 16:35:59.376,random,false,2024-01-20 16:35:59.375,2024-01-21 04:08:09.419,100,150,100,1,461,completed,1,true,100
42,2024-01-20 05:02:59.072,random,false,2024-01-20 05:02:59.071,2024-01-21 04:41:58.618,100,150,100,3,447,completed,3,true,100
44,2024-01-20 05:03:49.656,random,false,2024-01-20 05:03:49.655,2024-01-21 04:42:29.377,100,150,100,1,449,completed,4,true,100
49,2024-01-20 15:09:49.382,random,false,2024-01-20 15:09:49.381,2024-01-21 18:07:04.046,0,50,100,1,454,completed,7,false,100
52,2024-01-20 16:05:44.243,random,false,2024-01-20 16:05:44.242,2024-01-21 18:46:18.454,100,150,100,2,457,completed,7,true,100
46,2024-01-20 05:32:13.842,random,false,2024-01-20 05:32:13.841,2024-01-21 19:16:30.832,100,150,100,2,451,completed,8,true,100
72,2024-01-21 03:17:04.435,random,false,2024-01-21 03:17:04.433,2024-01-21 19:16:34.678,100,150,100,3,477,completed,7,true,100
40,2024-01-20 04:46:49.638,random,false,2024-01-20 04:46:49.637,2024-01-22 03:45:44.286,100,150,100,3,445,completed,8,true,100
15,2024-01-19 19:35:10.508,random,false,2024-01-19 19:35:10.507,2024-01-23 01:43:38.069,0,50,100,1,420,completed,5,false,100
70,2024-01-21 02:48:43.913,random,false,2024-01-21 02:48:43.912,2024-01-26 03:44:09.612,0,50,100,3,475,completed,1,false,100
76,2024-01-21 03:38:30.126,random,false,2024-01-21 03:38:30.125,2024-01-27 02:25:07.356,0,50,100,1,481,completed,2,false,100
17,2024-01-19 19:56:59.272,random,false,2024-01-19 19:56:59.271,2024-01-27 02:56:15.32,0,50,100,2,422,completed,6,false,100
59,2024-01-20 17:12:36.831,random,false,2024-01-20 17:12:36.83,2024-01-28 02:30:38.276,0,50,100,2,464,completed,2,false,100
26,2024-01-20 03:01:13.21,random,false,2024-01-20 03:01:13.209,2024-01-30 04:38:09.895,0,50,100,2,431,completed,3,false,100
54,2024-01-20 16:06:27.344,random,false,2024-01-20 16:06:27.343,2024-02-02 01:47:23.826,0,50,100,2,459,completed,5,false,100
13,2024-01-19 19:34:58.525,random,false,2024-01-19 19:34:58.524,2024-02-03 02:28:09.472,100,150,100,3,418,completed,5,true,100
