id,name,lastUpdated,startDate,endDate,type,creatorID,leagueID,active
3,NABCC Season 3 - Turbotown - Jan 2024,2024-01-19 06:16:39.339,2024-01-20 05:00:00,2024-02-29 05:00:00,random,65110965,1,true
1,NABCC Season 1 - Random - Dec 2023,2023-12-28 02:16:29.398,2023-12-01 00:00:00,2024-01-08 05:00:00,random,65110965,1,false
2,NABCC Season 2 - Random - Jan 2024,2024-01-08 15:12:19.586,2024-01-08 00:00:00,2024-01-19 00:00:00,random,65110965,1,false
